endpoint,Timestamp,VA,CO2Emission,Our_CO2_Emissions_In_Grams,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 06.00,4206.13,65,273.4,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 06.00,2979.72,65,193.68,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 06.00,557.55,65,36.24,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 06.00,694.81,65,45.16,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 06.00,2485.38,65,161.55,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 06.00,1090.09,65,70.86,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 07.00,2986.79,76.42,228.25,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 07.00,2511.79,76.42,191.95,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 07.00,550.47,76.42,42.07,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 07.00,4261.32,76.42,325.65,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 07.00,1076.42,76.42,82.26,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 07.00,693.87,76.42,53.03,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 07.00,3226.42,76.42,246.56,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 07.00,887.74,76.42,67.84,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 08.00,4200.47,72.75,305.58,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 08.00,1088.21,72.75,79.17,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 08.00,3176.42,72.75,231.08,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 08.00,2505.19,72.75,182.25,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 08.00,695.75,72.75,50.62,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 08.00,2939.62,72.75,213.86,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 08.00,551.42,72.75,40.12,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 08.00,887.26,72.75,64.55,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 09.00,2994.34,72.83,218.08,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 09.00,697.17,72.83,50.77,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 09.00,3221.7,72.83,234.64,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 09.00,1088.68,72.83,79.29,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 09.00,884.9,72.83,64.45,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 09.00,548.58,72.83,39.95,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 09.00,2516.51,72.83,183.28,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 09.00,4248.58,72.83,309.42,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 10.00,550.94,63.83,35.17,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 10.00,4229.24,63.83,269.95,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 10.00,2983.49,63.83,190.44,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 10.00,883.49,63.83,56.39,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 10.00,1125.47,63.83,71.84,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 10.00,692.45,63.83,44.2,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 10.00,3173.11,63.83,202.54,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 10.00,2519.34,63.83,160.81,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 11.00,3208.02,66.5,213.33,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 11.00,562.74,66.5,37.42,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 11.00,1135.85,66.5,75.53,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 11.00,891.98,66.5,59.32,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 11.00,694.81,66.5,46.2,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 11.00,4232.55,66.5,281.46,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 11.00,2969.34,66.5,197.46,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 11.00,2479.24,66.5,164.87,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 12.00,2470.75,65.58,162.03,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 12.00,883.96,65.58,57.97,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 12.00,3228.3,65.58,211.71,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 12.00,697.17,65.58,45.72,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 12.00,4251.42,65.58,278.81,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 12.00,583.49,65.58,38.27,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 12.00,1132.55,65.58,74.27,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 12.00,2979.24,65.58,195.38,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 13.00,693.87,66.08,45.85,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 13.00,2527.83,66.08,167.04,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 13.00,2974.53,66.08,196.56,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 13.00,886.32,66.08,58.57,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 13.00,547.17,66.08,36.16,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 13.00,4295.28,66.08,283.83,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 13.00,3239.62,66.08,214.07,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 13.00,1128.3,66.08,74.56,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 14.00,2984.91,65.75,196.26,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 14.00,3214.15,65.75,211.33,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 14.00,561.79,65.75,36.94,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 14.00,733.96,65.75,48.26,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 14.00,4237.74,65.75,278.63,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 14.00,2499.53,65.75,164.34,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 14.00,886.79,65.75,58.31,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 14.00,1131.6,65.75,74.4,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 15.00,734.9,63.25,46.48,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 15.00,551.42,63.25,34.88,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 15.00,1129.25,63.25,71.43,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 15.00,4200.94,63.25,265.71,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 15.00,2978.77,63.25,188.41,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 15.00,3208.02,63.25,202.91,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 15.00,2503.77,63.25,158.36,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 15.00,885.85,63.25,56.03,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 16.00,2509.91,58.33,146.4,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 16.00,3209.91,58.33,187.23,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 16.00,555.19,58.33,32.38,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 16.00,1129.72,58.33,65.9,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 16.00,732.55,58.33,42.73,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 16.00,4218.87,58.33,246.09,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 16.00,2962.74,58.33,172.82,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 16.00,884.9,58.33,51.62,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 17.00,550.47,61.33,33.76,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 17.00,2493.87,61.33,152.95,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 17.00,3225.94,61.33,197.85,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 17.00,1127.83,61.33,69.17,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 17.00,731.6,61.33,44.87,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 17.00,2971.7,61.33,182.25,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 17.00,4238.68,61.33,259.96,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 17.00,884.9,61.33,54.27,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 18.00,2497.17,64.83,161.89,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 18.00,2999.53,64.83,194.46,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 18.00,4266.51,64.83,276.6,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 18.00,628.77,64.83,40.76,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 18.00,884.43,64.83,57.34,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 18.00,3237.26,64.83,209.87,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 18.00,1096.7,64.83,71.1,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 18.00,548.11,64.83,35.53,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 19.00,1094.81,67.92,74.36,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 19.00,886.32,67.92,60.2,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 19.00,2957.08,67.92,200.84,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 19.00,2474.53,67.92,168.07,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 19.00,3200,67.92,217.34,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 19.00,4211.79,67.92,286.06,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 19.00,550,67.92,37.36,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 19.00,626.42,67.92,42.55,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 20.00,2481.6,62.25,154.48,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 20.00,3208.02,62.25,199.7,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 20.00,552.83,62.25,34.41,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 20.00,1098.58,62.25,68.39,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 20.00,4220.28,62.25,262.71,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 20.00,2945.28,62.25,183.34,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 20.00,884.9,62.25,55.09,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 20.00,633.49,62.25,39.43,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 21.00,630.19,66.42,41.86,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 21.00,565.57,66.42,37.57,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 21.00,880.19,66.42,58.46,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 21.00,2941.98,66.42,195.41,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 21.00,2490.57,66.42,165.42,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 21.00,3190.57,66.42,211.92,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 21.00,1084.43,66.42,72.03,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 21.00,4203.77,66.42,279.21,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 22.00,2482.55,59.83,148.53,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 22.00,551.89,59.83,33.02,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 22.00,2980.19,59.83,178.3,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 22.00,629.24,59.83,37.65,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 22.00,3194.34,59.83,191.12,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 22.00,4184.9,59.83,250.38,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 22.00,1095.75,59.83,65.56,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 22.00,884.9,59.83,52.94,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,18/10/2024 23.00,2525.94,60.42,152.62,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,18/10/2024 23.00,3218.87,60.42,194.48,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,18/10/2024 23.00,1098.11,60.42,66.35,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,18/10/2024 23.00,883.96,60.42,53.41,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,18/10/2024 23.00,632.55,60.42,38.22,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,18/10/2024 23.00,2944.34,60.42,177.9,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,18/10/2024 23.00,575.47,60.42,34.77,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,18/10/2024 23.00,4228.77,60.42,255.5,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,19/10/2024 00.00,4233.49,71.58,303.03,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,19/10/2024 00.00,2512.26,71.58,179.83,,,,,,,,,,,,,,,,,,,,,
192.168.28.3,19/10/2024 00.00,887.74,71.58,63.54,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,19/10/2024 00.00,633.02,71.58,45.31,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,19/10/2024 00.00,3219.81,71.58,230.47,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,19/10/2024 00.00,2966.04,71.58,212.31,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,19/10/2024 00.00,553.3,71.58,39.61,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,19/10/2024 00.00,1081.6,71.58,77.42,,,,,,,,,,,,,,,,,,,,,
192.168.33.2,19/10/2024 01.00,1092.92,75.08,82.06,,,,,,,,,,,,,,,,,,,,,
192.168.30.3,19/10/2024 01.00,3211.32,75.08,241.11,,,,,,,,,,,,,,,,,,,,,
192.168.28.2,19/10/2024 01.00,630.19,75.08,47.31,,,,,,,,,,,,,,,,,,,,,
192.168.32.2,19/10/2024 01.00,555.66,75.08,41.72,,,,,,,,,,,,,,,,,,,,,
192.168.30.2,19/10/2024 01.00,4188.68,75.08,314.49,,,,,,,,,,,,,,,,,,,,,
192.168.31.2,19/10/2024 01.00,2499.06,75.08,187.63,,,,,,,,,,,,,,,,,,,,,
192.168.29.2,19/10/2024 01.00,2965.09,75.08,222.62,,,,,,,,,,,,,,,,,,,,,
